conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/610bee9f-d7f0-4b18-918e-f2a4a91f8912,8112.3,steenboorder,0.064516129032258
Occupation,http://data.europa.eu/esco/occupation/3e9c6f2a-dc20-4366-aeb9-99dffd635b4c,8112.4,operator vlakpolijstmachine,0.0263157894736842
ISCO level 4,http://data.europa.eu/esco/isco/C8112,8112,Bedieningspersoneel van installaties voor de verwerking van mineralen en gesteente,0.035865874363327645
Occupation,http://data.europa.eu/esco/occupation/41d4be58-3111-48b5-814a-83117983dd16,8113.1,derrickhand,0.0
Occupation,http://data.europa.eu/esco/occupation/622b1d5e-bf14-4ec0-b83e-3bfcf8dff624,8113.2,driller,0.0434782608695652
Occupation,http://data.europa.eu/esco/occupation/d3c1c718-a093-4e2e-80a0-2bd331266a8b,8113.3,motorman,0.0
Occupation,http://data.europa.eu/esco/occupation/2a7d4b37-e831-4e20-827c-0682fe7e370e,8113.4,pijpleidingoperator,0.0
Occupation,http://data.europa.eu/esco/occupation/8d765d88-c8d6-406e-8dfe-e37c5aa89be6,8113.5,roughneck,0.0
Occupation,http://data.europa.eu/esco/occupation/86c49d9c-b37d-4a14-8e9d-d0357005a48d,8113.6,roustabout,0.0
Occupation,http://data.europa.eu/esco/occupation/5d549551-d94a-4e98-8444-d6608d70c8d8,8113.7,toolpusher,0.0
Occupation,http://data.europa.eu/esco/occupation/7a0afb5e-f118-449a-82bd-d8b9230fd49f,8113.8,operator tunnelboormachine,0.0384615384615384
Occupation,http://data.europa.eu/esco/occupation/46bbecf4-368a-44a8-9262-dcd775ae2c46,8113.9,boorverantwoordelijke,0.0357142857142857
ISCO level 4,http://data.europa.eu/esco/isco/C8113,8113,Boorders van bronnen e.d.,0.013072676116154366
Occupation,http://data.europa.eu/esco/occupation/2fa8c1fc-e722-4985-9822-f5d8174248cf,8114.1,operator asfaltproductie,0.0263157894736842
Occupation,http://data.europa.eu/esco/occupation/990738f4-587c-4045-a10f-e3c1c019220e,8114.2,operator betonblokmachine,0.0476190476190476
Occupation,http://data.europa.eu/esco/occupation/86da9311-1f7a-40bb-af65-ed2a7178fcae,8114.3,machine-operator beton,0.0303030303030303
Occupation,http://data.europa.eu/esco/occupation/8fdce434-caaa-42c7-a77c-7ba8d1cbc4be,8114.4,verantwoordelijke kathodische betonbescherming,0.0
Occupation,http://data.europa.eu/esco/occupation/8d3fd879-986d-42e7-bf67-c3c415592fe3,8114.5,handvormer betonelementen,0.0
