conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3e2ab38a-4519-4bef-b762-a8bf4836a775,dimensionaliteitsreductie uitvoeren,released,skill/competence,cross-sector,,"Het aantal variabelen of kenmerken voor een dataset verminderen in algoritmen voor machinaal leren door middel van methoden zoals hoofdcomponentenanalyse, matrixfactorisatie, auto-encodermethoden en andere.
	",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programmeren van computersystemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3e7516dc-0f7c-4686-8b2f-fade4e5d21be,3D-structurering,released,knowledge,sector-specific,structurering | de structuur van een 3D-oppervlak bepalen | de structuur van het oppervlak van een 3D-object bepalen | oppervlaktestructuur ontwerpen | 3D-ontwerp,Het proces waarbij een type oppervlak op een 3D-afbeelding wordt aangebracht.,http://data.europa.eu/esco/isced-f/0211,audiovisuele technieken en mediaproductie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3e75d405-c3d1-4a66-9963-05a9397d68fb,testmethoden voor printplaten,released,knowledge,cross-sector,,"Tot de methoden voor het testen van printplaten (printed circuit board, PCB) behoren de processen waarbij PCB-componenten of -systemen worden getest, bijvoorbeeld de ""in-circuit""-test (ICT), de test van de Joint Test Action Group (JTAG) en de automatische optische inspectie (AOI).",http://data.europa.eu/esco/isced-f/0612,ontwerp en beheer van databanken en netwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,datawarehouse,released,knowledge,occupation-specific,gegevensopslagplaats,"Het systeem voor gegevensopslag dat analyses en rapporten produceert over gegevens, waaronder een datamart.",http://data.europa.eu/esco/isced-f/0612,ontwerp en beheer van databanken en netwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3f4dab51-572b-4e2c-85ef-3b4c3f7094e1,XQuery,released,knowledge,sector-specific,,XQuery is een computer-zoektaal voor het opvragen van informatie uit een databank en van documenten die de vereiste informatie bevatten. Deze taal is ontwikkeld door de internationale normalisatieorganisatie World Wide Web Consortium.,http://data.europa.eu/esco/skill/9cf681c7-89ec-470c-b651-7fe03786f586 | http://data.europa.eu/esco/isced-f/0613,querytalen | ontwikkeling en analyse van software en toepassingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3fb8b724-1d52-4d11-b8b8-1776f558d1f0,plaatsing van ICT-hardware ontwerpen,released,skill/competence,occupation-specific,ICT-hardware plaatsen | plaatsing van ICT-componenten vaststellen | ICT-plaatsing | plaatsing van ICT-componenten bepalen | omschrijven en plannen hoe hardwarecomponenten moeten worden geplaatst | ICT-hardware installeren,De manier beschrijven en plannen waarop kabels en bijbehorende hardware in het gebouw zullen worden geplaatst.,http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,operationele beleidslijnen en procedures ontwikkelen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f,ICT-beveiligingsstandaarden,released,knowledge,sector-specific,naleving van beveiligingsstandaarden | ICT-beveiligingsnormen | beveiligingsstandaarden opstellen | IT-beveiligingsnormen | normen voor informatiebeveiliging | technieken en standaarden met betrekking tot ICT-beveiliging beheersen | ICT-beveiligingsregels | IT-beveiligingsframeworks | informatiebeveiligingsnormen | naleving van ICT-beveiligingsstandaarden,"Beste praktijken en richtsnoeren voor het beveiligen van informatie- en communicatietechnologie (ICT)-systemen en gegevens. Normen zoals die van de ISO 27000-serie bieden een kader voor het uitvoeren van doeltreffende beveiligingscontroles, waaronder toegangscontrole, risicobeoordeling en incidentbeheer, en voor het naleven van de voorschriften door een organisatie.
	",http://data.europa.eu/esco/isced-f/0612,ontwerp en beheer van databanken en netwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,delen met behulp van digitale technologieën,released,skill/competence,cross-sector,delen met behulp van digitale technologie | digitaal delen,"Gegevens, informatie en digitale inhoud met anderen delen door middel van passende digitale technologieën. Als tussenpersoon optreden, op de hoogte zijn van de relatering en de toeschrijving van referenties.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digitale communicatie en samenwerking | gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/401eb8d8-6daa-4f8b-90ad-60afc71eb4f8,Perl,released,knowledge,sector-specific,Ponie | Perl golf | Perl Camel | PERL,"Technieken en beginselen van softwareontwikkeling, waaronder analyse, algoritmes, coderen, testen en ontwerpen van programmeerparadigma's in Perl.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,computerprogrammering | ontwikkeling en analyse van software en toepassingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/406117ad-e035-483f-bbd3-9f6c2d95e535,onlinehelp bieden,released,skill/competence,occupation-specific,onlineondersteuning bieden | onlinehelp schrijven | gebruikers online bijstaan via ICT-systemen | onlinehelp beheren | online hulp bieden | onlinehelpsysteem,"Verstrekken van ondersteunende informatie aan gebruikers via een ICT-systeem, om bijstand te verlenen of informatie te verstrekken over een breed scala van onderwerpen of voor een specifiek onderwerp of product.",http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b | http://data.europa.eu/esco/skill/7de7e3f6-d222-4f08-b3f0-e2deff7ef798,anderen onderwijzen | verstrekken van informatie en ondersteuning aan het publiek en cliënten
